"('pid',)","('primaryName',)","('birthYear',)","('deathYear',)"
nm0006997,Peter M. Lenkov,1964,
nm0007011,Robert Salerno,,
nm0007037,John Bailey,1942,
nm0007102,Tabu,1970,
nm0007140,Stanley Weiser,,
nm0007156,Ortwin Freyermuth,,
nm0007182,Alex Cox,1954,
nm0007233,Bryce Zabel,,
nm0007237,Leonor Varela,1972,
nm0007491,Bonnie Aarons,1959,
nm0007646,Frank Abagnale Jr.,1948,
nm0007831,Allison Abbate,1965,
nm0007966,Elliot Abbott,,
nm0008036,Paul Abbott,1960,
nm0008330,Pamela Abdy,,
nm0008533,Alistair Abell,,
nm0008673,Helen Aberson,1907,1999
nm0008743,Jonathan Aibel,1969,
nm0008953,Marc Abraham,,
nm0009016,Jon Abrahams,1977,
nm0009142,Michel Abramowicz,1950,
nm0009161,Barry Abrams,1944,2009
nm0009190,J.J. Abrams,1966,
nm0009207,Marc Abrams,,
nm0009222,Peter Abrams,,
nm0009716,Kirk Acevedo,1971,
nm0009919,Antony Acker,,
nm0009942,Shane Acker,,
nm0010004,Peter Ackerman,,
nm0010096,Barry Ackroyd,1954,
nm0010139,Lance Acord,1964,
nm0010434,Gilbert Adair,1944,2011
nm0010471,Sandra Adair,1952,
nm0010553,Ken Adam,1921,2016
nm0010736,Amy Adams,1974,
nm0010930,Douglas Adams,1952,2001
nm0011190,Marshall Adams,,
nm0011254,Patch Adams,1945,
nm0011343,Samuel Hopkins Adams,1871,1958
nm0011354,Shea Adams,,
nm0011470,Andrew Adamson,1966,
nm0011478,Christopher Adamson,1956,
nm0011623,Charles Addams,1912,1988
nm0012137,Duane Adler,,
nm0012155,Gilbert Adler,1946,
nm0012523,Scott Adsit,1965,
nm0013037,Shohreh Aghdashloo,1952,
nm0013234,David Agosto,,
nm0013583,Michael Aguilar,,
nm0013761,Javier Aguirresarobe,1948,
nm0013878,Joe Ahearne,1963,
nm0014101,Maher Ahmad,,
nm0014582,Liam Aiken,1990,
nm0014960,Alexandre Aja,1978,
nm0015196,Malin Akerman,1978,
nm0015382,Adewale Akinnuoye-Agbaje,1967,
nm0015443,Malek Akkad,,
nm0015611,Ryûnosuke Akutagawa,1892,1927
nm0015677,Hudhail Al-Amir,,
nm0016473,Arthur Albert,1946,
nm0016603,Trevor Albert,,
nm0016662,Maryse Alberti,1954,
nm0016776,Jack Albertson,1907,1981
nm0016852,Francesc Albiol,1957,
nm0017013,Hardie Albright,1903,1975
nm0017301,Louisa May Alcott,1832,1888
nm0017305,Todd Alcott,1961,
nm0017450,Charles Bernstein,1943,
nm0017690,Matthew Aldrich,,
nm0018515,John Alexander,,
nm0018573,Les Alexander,,
nm0018630,Michele Alexander,,
nm0018735,Scott Alexander,1963,
nm0018755,Stan Alexander,,
nm0019247,Tomas Alfredson,1965,
nm0019282,James Algar,1912,1998
nm0019706,Joan Alison,1901,1992
nm0020441,Dede Allen,1923,2010
nm0020599,J.T. Allen,,
nm0020739,Krista Allen,1971,
nm0020897,Penelope Allen,,
nm0021065,Stanford C. Allen,,
nm0021201,Salvador Allende,1908,1973
nm0021249,Roger Allers,1949,
nm0021363,Michael Allin,1944,
nm0021835,Joaquim de Almeida,1957,
nm0021948,Agustín Almodóvar,,
nm0022397,Craig Alpert,,
nm0022540,Russ T. Alsobrook,1946,
nm0022709,Steve Alten,1959,
nm0022821,Elena Altieri,1910,1997
nm0022883,Bruce Altman,1955,
nm0023297,Matt Alvarez,,
nm0023315,Rick Alvarez,,
nm0023355,Christian Alvart,1974,
nm0023395,Charles Alverson,1935,2020
nm0023398,Timothy Alverson,1964,
nm0023832,Mathieu Amalric,1965,
nm0024425,Tangie Ambrose,,
nm0024475,Scott Ambrozy,,
nm0024593,Tony Amendola,1951,
nm0024622,Alejandro Amenábar,1972,
nm0024718,Jonathan Ames,,
nm0024909,Mark Amin,,
nm0024925,Hossein Amini,1966,
nm0025465,Mitchell Amundsen,1958,
nm0025745,Elena Anaya,1975,
nm0025978,Allison Anders,1954,
nm0026153,Hans Christian Andersen,1805,1875
nm0026364,Anthony Anderson,1970,
nm0026442,Brad Anderson,1964,
nm0026565,Darla K. Anderson,,
nm0026853,Jamie Anderson,,
nm0026879,Jeff Anderson,1970,
nm0027011,Ken Anderson,1909,1993
nm0027173,Maxwell Anderson,1888,1959
nm0027271,Paul W.S. Anderson,1965,
nm0027459,Stephen J. Anderson,1970,
nm0027572,Wes Anderson,1969,
nm0027630,Benny Andersson,1946,
nm0027683,Harriet Andersson,1932,
nm0028690,Jason Andrews,,
nm0028764,Mark Andrews,1968,
nm0028787,Michael Andrews,,
nm0029125,Mark Andrus,,
nm0029400,Michael Angarano,1987,
nm0029562,Ray Angelic,,
nm0030572,Julie Ansell,,
nm0030663,Jay Anson,1921,1980
nm0030735,Nimród Antal,1973,
nm0031976,Judd Apatow,1967,
nm0032227,Josh Appelbaum,,
nm0032310,Catherine Apple,1963,
nm0032314,Jeff Apple,1954,
nm0032696,Avi Arad,1948,
nm0033153,David Arata,,
nm0033490,Franco Arcalli,1929,1978
nm0033578,Jeff Arch,1954,
nm0033658,Ernest Archer,1910,1990
nm0034309,Geoffrey Arend,1978,
nm0034733,Yancey Arias,1971,
nm0035514,Richard Armitage,1971,
nm0035661,Craig Armstrong,1959,
nm0035899,Samuel Armstrong,1893,1976
nm0035905,Scot Armstrong,1970,
nm0036155,Stefan Arndt,1961,
nm0036366,Bonnie Arnold,,
nm0036427,Edward Arnold,1890,1956
nm0036641,Susan Arnold,,
nm0036670,William Arnold,,
nm0036714,David Arnott,1963,
nm0036981,Letty Aronson,1943,
nm0037097,Giovanni Arpino,1927,1987
nm0037247,Guillermo Arriaga,1958,
nm0037410,Karina Arroyave,1969,
nm0038355,Tadanobu Asano,1973,
nm0038432,Kelly Asbury,1960,2020
nm0038918,Kate Ashfield,1972,
nm0039141,Howard Ashman,1950,1991
nm0039226,John Ashton,1948,
nm0039583,Jules Asner,1968,
nm0040022,Tom J. Astle,1960,
nm0040217,Tim Atack,1959,
nm0040472,William Atherton,1947,
nm0040586,Eileen Atkins,1934,
nm0041066,Antonella Attili,1963,
nm0041165,Roy Atwell,1878,1962
nm0041281,Rene Auberjonois,1940,2019
nm0041447,Kim Aubry,,
nm0041598,Eleanor Audley,1905,1991
nm0041765,Dorothy Aufiero,,
nm0041864,John August,1970,
nm0042006,Scott Aukerman,1970,
nm0042317,Albert Austin,1882,1953
nm0042520,Stephanie Austin,,
nm0042882,Elizabeth Avellan,1960,
nm0042992,Scott Aversano,1970,
nm0042998,Lloyd Avery II,1969,2005
nm0043007,Belle Avery,,
nm0043233,Oren Aviv,1961,
nm0043480,George Axelrod,1922,2003
nm0043742,David Ayer,1968,
nm0043855,Reiko Aylesworth,1972,
nm0044073,Lubna Azabal,1973,
nm0044363,Irving Azoff,,
nm0044545,Pierre Aïm,1959,
nm0045202,Joaquín Baca-Asay,1969,
nm0045209,Michael Bacall,1973,
nm0045301,Danilo Bach,1944,
nm0045813,Nick Bacon,,
nm0045927,Bill Badalato,1940,
nm0045937,Michael Badalucco,1954,
nm0046004,Klaus Badelt,1967,
nm0046112,Penn Badgley,1986,
nm0046277,Bae Doona,1979,
nm0046524,Anthony Bagarozzi,,
nm0047265,G.W. Bailey,1944,
nm0047419,Miranda Bailey,1977,
nm0047489,Sean Bailey,1970,
nm0047685,Barnet Bain,,
nm0047787,Julie Baines,1957,
nm0047800,Beulah Bains,1905,1930
nm0047916,Robert L. Baird,,
nm0047962,Chieko Baishô,1941,
nm0048169,Nick Bakay,1959,
nm0048260,Betsy Baker,1955,
nm0048276,Bob Baker,1939,2021
nm0048589,Joe Baker,1928,2001
nm0048798,Nellie Bly Baker,1893,1984
nm0048918,Sean Baker,1971,
nm0049026,Zene Baker,,
nm0049371,Jaume Balagueró,1968,
nm0049633,Kyle Balda,1971,
nm0049689,John Baldecchi,,
nm0049721,John L. Balderston,1889,1954
nm0049920,Howard Baldwin,,
nm0049945,Karen Elise Baldwin,1964,
nm0050332,Alan Ball,1957,
nm0050618,J.G. Ballard,1930,2009
nm0050832,Florian Ballhaus,1965,
nm0050959,Pedro Pascal,1975,
nm0051509,Eric Bana,1968,
nm0051643,Tony Bancroft,1967,
nm0051939,Thomas Bangalter,1975,
nm0052186,Jonathan Banks,1947,
nm0052520,Milt Banta,1922,1959
nm0053070,Andrea Barata Ribeiro,,
nm0053335,Butch Barbella,,
nm0053388,Gary Barber,1957,
nm0053484,Joseph Barbera,1911,2006
nm0054087,Roger Barclay,,
nm0054667,Pierre Barillet,1923,2019
nm0054697,Ike Barinholtz,1977,
nm0055431,Michael Barnathan,,
nm0055549,Christopher Daniel Barnes,1972,
nm0055717,Nicky Kentish Barnes,,
nm0055937,Kevin Barnett,,
nm0056187,Sacha Baron Cohen,1971,
nm0056205,Caroline Baron,,
nm0056236,Fred Baron,,
nm0056283,Michael Lee Baron,,
nm0056477,Byron Barr,1917,1966
nm0056550,Nathan Barr,,
nm0057187,K.K. Barrett,,
nm0057221,Mark Barrett,,
nm0057368,Chris Barrie,1960,
nm0057381,J.M. Barrie,1860,1937
nm0057398,Michael Barrie,,
nm0057623,Ghislain Barrois,,
nm0057655,David Barron,1954,
nm0057856,Geoff Barrow,1971,
nm0058045,John Barry,1935,1979
nm0058539,Jack Barth,,
nm0058581,Justin Bartha,1978,
nm0058826,Hall Bartlett,1922,1993
nm0059030,Luigi Bartolini,1892,1963
nm0059242,Roger Barton,,
nm0059431,Jay Baruchel,1982,
nm0059493,Hal Barwood,1940,
nm0059654,David Alan Basche,1968,
nm0059946,Elya Baskin,1950,
nm0060103,Ronald Bass,1942,
nm0060760,Janet Scott Batchler,1956,
nm0060761,Lee Batchler,1950,
nm0060931,Jeanne Bates,1918,2007
nm0060988,Michael Bates,1920,1978
nm0061003,Paul Bates,1958,
nm0061045,Tyler Bates,1965,
nm0061284,Aurelius Battaglia,1910,1984
nm0061829,Hans Bauer,,
nm0062328,Alan Baumgarten,1957,
nm0062332,Craig Baumgarten,1949,
nm0062844,Frances Bay,1919,2011
nm0063165,Peter Baynham,,
nm0063414,Roque Baños,1968,
nm0063473,Jim Beach,1942,
nm0063571,Kate Beahan,1974,
nm0063973,Chris Boardman,1954,
nm0064179,Scott Beattie,,
nm0064181,Stuart Beattie,,
nm0064290,Christophe Beaucarne,,
nm0064479,Simon Beaufoy,1967,
nm0064556,Phil Beauman,,
nm0064607,Kathryn Beaumont,1938,
nm0065007,Demián Bichir,1963,
nm0065100,Christophe Beck,1972,
nm0065235,Michael Beck,1949,
nm0065376,Christian Becker,1972,
nm0065418,Gerry Becker,1951,2019
nm0065608,Walt Becker,1968,
nm0065615,Wolfgang Becker,1954,
nm0065847,Michael Frost Beckner,1963,
nm0065980,Frank Beddor,1958,
nm0066028,Brian Bedford,1935,2016
nm0066055,Terry Bedford,1943,
nm0066079,Marc Bedia,,
nm0066144,Gerry Bednob,,
nm0066244,Dion Beebe,1968,
nm0066951,Peter Behn,1934,
nm0067103,S.N. Behrman,1893,1973
nm0067367,Bérénice Bejo,1976,
nm0067457,Timur Bekmambetov,1961,
nm0067643,Joe Belcher,1928,2006
nm0067676,Charles Belden,1904,1954
nm0067789,Jordan Belfort,1962,
nm0068187,Emma Bell,1986,
nm0068260,Jamie Bell,1986,
nm0068338,Kristen Bell,1980,
nm0068501,Ross Grayson Bell,,
nm0068551,Tobin Bell,1942,
nm0068580,Wayne Bell,,
nm0068684,Bruce Bellamy,,
nm0068925,Bernard Bellew,,
nm0068935,Nellie Bellflower,1946,
nm0069282,Peter Bellwood,,
nm0069547,Jerry Belson,1938,2006
nm0069549,Kristine Belson,,
nm0069893,Tarak Ben Ammar,1949,
nm0069963,Saïd Ben Saïd,,
nm0070152,Tonino Benacquista,1961,
nm0070238,Rick Benattar,,
nm0070368,Steve Bencich,,
nm0070436,Steve Bendelack,,
nm0070454,Chris Bender,1971,
nm0070498,Michael Bender,1946,1997
nm0070500,Mike Bender,1975,
nm0070822,Terry Benedict,,
nm0071059,Hubertus Bengsch,1952,
nm0071275,André 3000,1975,
nm0071363,Stuart Benjamin,,
nm0071452,Robert Benmussa,,
nm0071564,Peter Bennett-Jones,1955,
nm0071636,Bruce Bennett,1906,2007
nm0071790,Harve Bennett,1930,2015
nm0071879,Laurence Bennett,,
nm0072032,Ronan Bennett,1956,
nm0072533,Jodi Benson,1961,
nm0072600,Ned Benson,1977,
nm0073053,Leonardo Benvenuti,1923,2000
nm0073551,Craig Berenson,1959,
nm0073688,Alec Berg,,
nm0073850,Michael Berg,,
nm0073875,Quirin Berg,1978,
nm0074100,Albert Berger,,
nm0074165,Elizabeth Berger,,
nm0074184,Glenn Berger,1969,
nm0074426,Bibo Bergeron,,
nm0074488,Paul Mayeda Berges,1968,
nm0074788,Henry Bergman,1868,1946
nm0074834,Mary Kay Bergman,1961,1999
nm0074851,Ram Bergman,,
nm0074980,Erik Bergquist,,
nm0075015,Eric Bergren,1954,2016
nm0075044,Eleanor Bergstein,1938,
nm0075276,Michael Berk,,
nm0075528,Greg Berlanti,1972,
nm0075696,Andrea Berloff,,
nm0075710,François Berléand,1952,
nm0075834,Rick Berman,1945,
nm0076166,Carlo Bernard,,
nm0076412,Peter Schink,,
nm0076444,Barry Bernardi,,
nm0076602,Paul Bernbaum,1957,
nm0076670,Alexander Berner,1966,
nm0076748,Harvey Bernhard,1924,2014
nm0077000,Armyan Bernstein,1947,
nm0077012,Carl Bernstein,1944,
nm0077062,Jack Bernstein,,
nm0077086,Leonard Bernstein,1918,1990
nm0077110,Nancy Bernstein,1960,2015
nm0077149,Steven Bernstein,,
nm0077397,Elizabeth Berrington,1970,
nm0077669,Sam Berry,,
nm0077670,Sarah Berry,1960,
nm0077720,Michael Berryman,1948,
nm0078203,Christopher Bertolini,,
nm0078698,Michael Besman,,
nm0078704,Éric Besnard,1964,
nm0078804,Stuart M. Besser,,
nm0078868,René Besson,,
nm0078897,Ben Best,1974,2021
nm0078984,Peter Best,1943,
nm0079065,Mariela Besuievsky,,
nm0079273,Paul Bettany,1971,
nm0079638,Hilary Bevan Jones,,
nm0079677,Tim Bevan,1957,
nm0079879,Kent Beyda,1953,
nm0080049,Yasiin Bey,1973,
nm0080289,Deepa Bhatia,,
nm0080755,Oreste Biancoli,1897,1971
nm0080930,Edward Biby,1886,1952
nm0081046,Laura Bickford,1962,
nm0081081,Jenny Bicks,1963,
nm0081189,Ann Biderman,1951,
nm0081514,Marc Bienstock,,
nm0081540,Susanne Bier,1960,
nm0081572,Craig Bierko,1964,
nm0082008,André Bijelic,,
nm0082300,Tony Bill,1940,
nm0082450,Paul Feig,1962,
nm0082517,John Billingsley,1960,
nm0082526,Peter Billingsley,1971,
nm0082772,Carl Binder,,
nm0082884,Herman Bing,1889,1947
nm0083348,Brad Bird,1957,
nm0083655,Gil Birmingham,1953,
nm0083696,Roger Birnbaum,,
nm0084190,Sean Bishop,,
nm0084695,Peter Biziou,1944,
nm0085038,Gunnar Björnstrand,1909,1986
nm0085257,Dustin Lance Black,1974,
nm0085312,Jack Black,1969,
nm0085400,Lewis Black,1948,
nm0085407,Lucas Black,1982,
nm0085542,Todd Black,1960,
nm0085736,Dirk Blackman,,
nm0085782,Sidney Blackmer,1895,1973
nm0086431,Aaron Blaise,1968,
nm0086658,Michael Blake,1945,2015
nm0086998,Ken Blancato,1945,2021
nm0087109,Tammy Blanchard,1976,
nm0087490,Dorothy Ann Blank,,
nm0087533,Henry Blanke,1901,1981
nm0087861,William Peter Blatty,1928,2017
nm0087904,Barry W. Blaustein,1955,
nm0088245,Jan Blenkin,,
nm0088285,Billy Bletcher,1894,1979
nm0088340,David E. Blewitt,1928,2010
nm0088471,B.F. Blinn,1872,1941
nm0088479,William Blinn,1937,2020
nm0088546,Ricky Blitt,,
nm0088645,Robert Bloch,1917,1994
nm0088692,Bruce A. Block,,
nm0088747,Lawrence Block,1938,
nm0088955,Neill Blomkamp,1979,
nm0089141,Brian Bloom,1970,
nm0089169,Harold Jack Bloom,1924,1999
nm0089182,John Bloom,1935,
nm0089217,Orlando Bloom,1977,
nm0089348,Roberts Blossom,1924,2011
nm0089459,Richard Bluck,,
nm0089626,Christine Blum,,
nm0089658,Jason Blum,1969,
nm0089676,Len Blum,1951,
nm0089742,Stuart Blumberg,1969,
nm0089820,Jason Blumenthal,,
nm0089940,Don Bluth,1937,
nm0090008,Stanley Blystone,1894,1956
nm0090151,Jeffrey Boam,1946,2000
nm0090199,Paul Harris Boardman,,
nm0090309,Russell Bobbitt,,
nm0090386,James Bobin,1972,
nm0090394,Daniel Bobker,,
nm0091161,Geefwee Boedoe,1965,
nm0091686,Hagen Bogdanski,1965,
nm0092061,Adam Bohling,,
nm0092267,Pierre Boileau,1906,1989
nm0092268,Thomas Narcejac,1908,1998
nm0092384,Noëlle Boisson,1944,
nm0092575,Oliver Bokelberg,1964,
nm0092578,Jon Bokenkamp,,
nm0093328,Tedi Sarafian,1966,
nm0093337,Jeremy Bolt,1965,
nm0093501,Adriano Bolzoni,1919,2005
nm0093560,Mark Bomback,1971,
nm0093589,Matt Bomer,1977,
nm0093748,Gregory J. Bonann,1952,
nm0093904,Christopher Bond,1945,
nm0094435,Bong Joon Ho,1969,
nm0094850,Mathilde Bonnefoy,1972,
nm0095017,Hugh Bonneville,1963,
nm0095029,Lawrence A. Bonney,,
nm0095272,Michael Bonvillain,,
nm0095460,Ed Boon,1964,
nm0095478,Mark Boone Junior,1955,
nm0096115,Bill Borden,,
nm0097001,Moritz Borman,1955,
nm0097132,Charles Bornstein,,
nm0098233,Michael Bostick,,
nm0098316,Eugenia Bostwick-Singer,,
nm0098378,Kate Bosworth,1983,
nm0098842,Alain Boublil,1941,
nm0099278,Michael Boughen,,
nm0099398,Nicolas Boukhrief,1963,
nm0099541,Pierre Boulle,1912,1994
nm0099753,Ludovic Bource,,
nm0100020,Pieter Bourke,,
nm0100027,David Bourla,,
nm0100080,Mel Bourne,1923,2003
nm0100205,Joy Boushel,1959,
nm0100522,Laurent Bouzereau,1962,
nm0100556,Raoul Bova,1971,
nm0100559,Fernando Bovaira,,
nm0100650,Frédéric Bovis,1959,
nm0100736,Mark Bowden,1951,
nm0100866,Julie Bowen,1970,
nm0101047,David Bowers,,
nm0101385,Rob Bowman,1960,
nm0101508,Steve Box,1967,
nm0101555,Shabbir Boxwala,,
nm0101604,Sully Boyar,1923,2001
nm0101710,Billy Boyd,1968,
nm0101801,F.X. Toole,1930,2002
nm0101991,Philippa Boyens,,
nm0102288,Lisa Boyle,1964,
nm0102327,Robert F. Boyle,1909,2010
nm0102508,Ron Bozman,,
nm0102722,Gérard Brach,1927,2006
nm0102818,Charles Brackett,1892,1969
nm0102824,Leigh Brackett,1915,1978
nm0102873,Harry Bradbeer,,
nm0103038,Jesse Bradford,1979,
nm0103357,Omar N. Bradley,1893,1981
nm0103702,Pam Brady,,
nm0103785,Zach Braff,1975,
nm0103797,Alice Braga,1983,
nm0103804,Brannon Braga,1965,
nm0103956,Henry Braham,1965,
nm0104193,Marco Brambilla,1960,
nm0104335,John Brancato,1958,
nm0104526,Steven Brand,1969,
nm0104783,Maryann Brandon,,
nm0104973,Michael Brandt,1968,
nm0105169,Ash Brannon,,
nm0105346,Gianluigi Braschi,1963,2008
nm0105672,Andre Braugher,1962,
nm0106505,Irving Brecher,1914,2008
nm0106534,Jonathan Breck,1965,
nm0106563,Andy Breckman,1955,
nm0106835,Anthony Bregman,,
nm0106840,Martin Bregman,1926,2018
nm0106841,Michael Bregman,,
nm0107183,Nicholas Brendon,1971,
nm0107231,Greg Brenman,,
nm0107463,David Brenner,1962,2022
nm0107493,Marie Brenner,1949,
nm0107509,Robbie Brenner,,
nm0107760,James Bresnahan,,
nm0107774,Eric Bress,,
nm0107855,Melissa Bretherton,,
nm0108094,Eric Brevig,1957,
nm0108132,Craig Brewer,1971,
nm0108150,Gene Brewer,1937,
nm0108273,Mike Werb,,
nm0108287,Jordana Brewster,1980,
nm0108368,Larry Brezner,1942,2015
nm0108595,Paul Brickhill,1916,1991
nm0108613,Marshall Brickman,1939,
nm0108629,Wendy Greene Bricmont,,
nm0108703,Sean Bridgers,1968,
nm0109010,Chris Briggs,,
nm0109205,Homer Brightman,1901,1988
nm0109300,John Briley,1925,2019
nm0109359,Steven Brill,1962,
nm0109578,Chris Brinker,1970,2013
nm0109658,Robert Brinkmann,1961,
nm0109726,Jon Brion,1963,
nm0109773,David Brisbin,1952,
nm0110042,Michl Britsch,,
nm0110293,Gaëtan Brizzi,1951,
nm0110294,Paul Brizzi,1951,
nm0110357,Graham Broadbent,,
nm0110480,Peter Brocco,1903,1992
nm0110482,Albert R. Broccoli,1909,1996
nm0110483,Barbara Broccoli,1960,
nm0110591,Jeremy Brock,1959,
nm0110778,Kevin Brodbin,1964,
nm0111013,Adam Brody,1979,
nm0111225,Cary Brokaw,1951,
nm0111274,Shane Brolly,1970,
nm0111649,Michael Brook,1952,
nm0111765,Charlie Brooker,1971,
nm0111769,Greg Brooker,,
nm0111845,Adam Brooks,1956,
nm0112150,Max Brooks,1972,
nm0112189,Paul Brooks,1959,
nm0112395,Edward Brophy,1895,1960
nm0112459,Aline Brosh McKenna,1967,
nm0112932,Neil Brown Jr.,1980,
nm0113005,Amanda Brown,,
nm0113084,Barry Alexander Brown,1960,
nm0113244,Chris Brown,,
nm0113360,David Brown,1916,2010
nm0113583,G. Mac Brown,1957,
nm0113595,Garrett M. Brown,1948,
nm0113689,Harry Brown,1917,1986
nm0114080,Leigh Brown,1939,1998
nm0114083,Len Brown,,
nm0114213,Martin Brown,,
nm0114363,O. Nicholas Brown,1939,
nm0114532,Rob Brown,1984,
nm0114742,Susan Brown,1946,
nm0115161,Emily Browning,1988,
nm0115224,John Brownjohn,,
nm0115236,Mongo Brownlee,1971,
nm0115310,William Broyles Jr.,1944,
nm0115384,James D. Brubaker,1937,
nm0115431,J. Campbell Bruce,1906,1996
nm0115537,Lisa Bruce,,
nm0115764,Pieter Jan Brugge,1956,
nm0116232,Dana Brunetti,1973,
nm0116348,Alexander Yves Brunner,1973,
nm0117022,Zachery Ty Bryan,1981,
nm0117146,Joy Bryant,1974,
nm0117290,Ian Bryce,,
nm0117354,Lisa Bryer,1957,
nm0117381,Eigil Bryld,,
nm0117412,Hugh Keays-Byrne,1947,2020
nm0117420,Andrew Bryniarski,1969,
nm0117709,Daniel Brühl,1978,
nm0117741,BT,1970,
nm0117763,Emilio Buale,1972,
nm0117779,Pasquale Buba,1946,2018
nm0118050,Michael Buchanan,,2008
nm0118164,Lothar G. Buchheim,1918,2007
nm0118224,Peter Buchman,1967,
nm0118227,Sidney Buchman,1902,1975
nm0118333,Chris Buck,1958,
nm0118649,Kristen Buckley,,
nm0118729,Paul Buckmaster,1946,2017
nm0119322,Conrad Buff IV,1948,
nm0119633,Michael Buie,,
nm0120317,Henry Bumstead,1915,2006
nm0120648,Cara Buono,1971,
nm0120837,Peter Burchard,1921,2004
nm0121117,Mark Burg,,
nm0121256,Anthony Burgess,1917,1993
nm0121281,Don Burgess,1956,
nm0121431,Geoffrey Burgon,1941,2010
nm0121559,Robert John Burke,1960,
nm0121605,Billy Burke,1966,
nm0121724,Jim Burke,,
nm0122079,Robert Burks,1909,1968
nm0122238,Leo Burmester,1944,2007
nm0122335,Allison Burnett,1958,
nm0122417,Murray Burnett,1910,1997
nm0122439,T Bone Burnett,1948,
nm0122446,W.R. Burnett,1899,1982
nm0122602,Brian Burns,,
nm0122653,Edward Burns,1968,
nm0122782,Marilyn Burns,1949,2014
nm0123174,Bryan Burrough,1961,
nm0123194,Edgar Rice Burroughs,1875,1950
nm0123242,Abe Burrows,1910,1985
nm0123553,Corey Burton,1955,
nm0123666,Mark Burton,,
nm0123785,Ben Burtt,1948,
nm0124133,George W. Bush,1946,
nm0124239,David L. Bushell,,
nm0124299,Candace Bushnell,1958,
nm0124700,Oliver Butcher,,
nm0124832,Bill Butler,1921,
nm0124833,Bill Butler,1933,2017
nm0124930,Gerard Butler,1969,
nm0125336,Jez Butterworth,1969,
nm0125803,Bobby Farrelly,1958,
nm0126004,Dan Byrd,1985,
nm0126096,James Ward Byrkit,,
nm0126128,Bobby Byrne,1932,2017
nm0126154,David Byrne,1952,
nm0126284,Rose Byrne,1979,
nm0126653,Willi Bär,,
nm0126825,Yves Bélanger,1960,
nm0127373,Louis C.K.,1967,
nm0127429,Eugenio Caballero,1972,
nm0127690,Meg Cabot,1967,
nm0128906,James M. Cain,1892,1977
nm0128997,Jeffrey Caine,1944,
nm0129765,Michael Caldwell,,
nm0130407,Joseph Calleia,1897,1975
nm0130492,John Calley,1930,2011
nm0130572,Cab Calloway,1907,1994
nm0130760,Antonio Calvache,,
nm0131333,Donn Cambern,1929,
nm0131625,John Cameron,1958,
nm0131661,Lorne Cameron,,
nm0131700,Paul Cameron,1958,
nm0131811,Terry Camilleri,1949,
nm0131966,Bill Camp,1964,
nm0132168,John W. Campbell Jr.,1910,1971
nm0132257,Bruce Campbell,1958,
nm0132427,Eddie Campbell,1955,
nm0132685,Luenell,1959,
nm0132695,Malcolm Campbell,,
nm0132709,Martin Campbell,1943,
nm0133676,Kelly Candaele,1954,
nm0134073,Enzo Cannavale,1928,2011
nm0134164,Bruce Cannon,,
nm0134176,Danny Cannon,1968,
nm0134201,J.D. Cannon,1922,2005
nm0134224,Kay Cannon,1974,
nm0134284,William H. Cannon,1907,1990
nm0134493,Giorgio Cantarini,1992,
nm0134508,Paul Cantelon,1965,
nm0134635,Neil Canton,1948,
nm0134871,Jiuping Cao,,
nm0135141,Frank A. Cappello,,
nm0135221,Lizzy Caplan,1982,
nm0135296,Jim Capobianco,1969,
nm0135584,Francis Capra,1983,
nm0135585,Freddy Rodríguez,1975,
nm0135622,Ahna Capri,1944,2010
nm0135847,Joseph M. Caracciolo Jr.,,
nm0136057,Luis Carballar,,
nm0136260,Philippe Carcassonne,1955,
nm0136262,Lorenzo Carcaterra,1954,
nm0136298,Orson Scott Card,1951,
nm0136754,Herbert Cardwell,1940,1979
nm0136794,Lianella Carell,1927,2000
nm0136797,Steve Carell,1962,
nm0136904,Anne Carey,,
nm0137506,George Carlin,1937,2008
nm0137573,Lewis John Carlino,1932,2020
nm0137793,Wendy Carlos,1939,
nm0137800,Will Carlough,,
nm0137811,John B. Carls,,
nm0138287,Phyllis Carlyle,,
nm0138502,Don Carmody,1951,
nm0138620,Joe Carnahan,1969,
nm0138770,Art Carney,1918,2003
nm0138809,John Carney,1972,
nm0138918,Julio Caro,,
nm0138927,Niki Caro,1967,
nm0139591,Allan Carr,1937,1999
nm0139714,Harry Carr,1877,1936
nm0139758,John K. Carr,,
nm0139867,Steve Carr,,
nm0140011,Bill Carraro,,
nm0140826,Gordon Carroll,1928,2005
nm0140836,J. Larry Carroll,1946,
nm0140860,Jim Carroll,1949,2009
nm0140902,Lewis Carroll,1832,1898
nm0141089,William C. Carruth,,
nm0141281,L.M. Kit Carson,1941,2014
nm0141617,Finn Carter,1960,
nm0141713,John Carter,1922,2018
nm0141734,Joseph Carter,1912,1984
nm0141961,Thomas Carter,1953,
nm0142134,Susan Cartsonis,,
nm0142200,Randy Cartwright,1951,
nm0142286,D.J. Caruso,1965,
nm0142301,Fred C. Caruso,,
nm0142577,Raymond Carver,1938,1988
nm0142972,Amira Casar,1971,
nm0143281,Alberto Casella,1891,1957
nm0143314,Adriana Caselotti,1916,1997
nm0143403,Daniel Casey,1981,
nm0143558,Warren Casey,1935,1988
nm0143596,Jim Cash,1941,2000
nm0143599,Johnny Cash,1932,2003
nm0143939,Guymon Casady,,
nm0144025,Patrick Cassavetti,1950,
nm0144657,Dan Castellaneta,1957,
nm0144841,Teddy Castellucci,,
nm0145309,Nick Castle,1947,
nm0145336,William Castle,1914,1977
